name,county,address,city,state,zipcode,y,x
Bamberger,Blanco,2341 Blue Ridge Dr,Johnson City,TX,78636,30.20596000,-98.44940000
Birdwell-Clark,Clay,578 N. Bryant Edwards Rd.,Henrietta,TX,76365,33.82014000,-98.07010000
Fielding,Blanco,2153 Braford Lane,Johnson City,TX,78636,30.29265000,-98.36590000
Grotegut,Deaf Smith,3810 US Highway 385,Hereford,TX,79045,34.84158000,-102.4050000
Hershey,Gillespie,2528 Hershey Ranch Rd,Stonewall,TX,78671,30.18510000,-98.62660000
Isaacs,Hemphill,15920 Marshall Drive,Canadian,TX,79014,35.84778000,-100.2120000
Miller,Ochiltree,15050 US Hwy 83,Perryton,TX,79070,36.46837000,-100.8030000
Montesino,Hays,300 Little Arkansas Rd,Wimberley,TX,78676,29.98205000,-98.05160000
Parker Creek,Medina,2956 FM 2200,D'Hanis,TX,78850,29.29559000,-99.27610000
Pure Pastures - Moorman,Comal,2002 Bendel Ranch Rd,Canyon Lake,TX,78133,29.85291000,-98.32370000
Roam,Gillespie,1804 Pfeiffer Rd,Fredericksburg,TX,78624,30.23433000,-98.71740000
Shield-TerraPurezza,Travis,16037 Hamilton Pool Rd,Austin,TX,78738,30.29473000,-98.00470000
Stallwitz,Moore,6142-6146 Stallwitz Rd,Dumas,TX,79029,35.84736000,-101.9990000
Stowers Ranch,Kerr,625 Stowers Ranch Road,Hunt,TX,78024,30.04678000,-99.52780000
Texastopia Farm,Kendall,33 Delaware Creek Rd,Blanco,TX,78606,30.10290000,-98.62630000
Trammell,Randall,,Amarillo,TX,79119,35.11749000,-102.0280000
Whitworth,Kimble,6595 RR 385,London,TX,76854,30.54569000,-99.57820000
YMCA Roberts Ranch,Kerr,1111 Center Point Rd,Comfort,TX,78013,30.08777000,-98.96130000
Zanzenberg,Kerr,542 Kelly St,Center Point,TX,78010,29.94414000,-99.04360000
