Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Annual Avg.
2011,1.01,0.44,0.09,0.56,1.28,0.53,0.31,0.28,0.85,2.23,1.25,2.23,0.93
2012,1.7,2.44,3.06,0.42,4.24,1.29,2.11,1.14,3.95,0.83,0.16,0.13,1.79
2013,2.07,0.42,0.88,1.43,3.04,1.68,2.2,1.24,3.82,3.26,1.55,0.84,1.88
2014,0.02,0.13,0.29,0.75,4.92,2.23,1.15,1.68,2.68,1.33,2.59,0.45,1.52
2015,1.73,0.19,1.93,2.19,8.34,2.74,0.43,0.56,0.37,4.76,2.98,1.39,2.32
2016,0.3,0.93,3.03,3.8,5.8,2.12,0.48,4.04,3.48,0.2,2.76,1.8,2.39
2017,1.39,2.45,1.04,2.04,1.99,2.54,1.47,3.42,2.4,0.38,0.42,1.38,1.74
2018,0.12,1.77,0.84,0.42,3,0.97,1.26,2,6.8,8.82,0.37,2.53,2.42
2019,0.83,0.24,0.7,2.79,3.97,3.59,0.56,1.02,0.46,1.58,0.9,0.43,1.43
2020,1.85,1.52,3.6,1.87,4.14,1.05,1,0.47,3.61,0.29,0.5,1.55,1.79
2021,0.85,1.13,1.02,1.29,5.36,2.6,2.96,2.21,1.73,2.73,0.95,0.18,1.93
